"Timestamp","Which age group do you belong to?","What is your profession?","Who is your favourate political leader in India?","Do you think Narendra Modi has the ability to transform India?","How much time do you give to your mobile phone in one day?","What would you like to do in your free time?","What would you do to enhance your knowledge?","Which type of music do you love to listen?","Which type of marriage is best?","Which social networking plateform do you love to use the most?","Which online shopping site do you like to prefer?","How much time you give to your parents in a day?","What would you like to do to remain fit and healthy?","Which shampoo brand would you like to use?","Which toothpaste brand would you like to use?"
"2018/12/09 6:48:29 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Read Books","Read Newspapers","Romantic","Love Marriage","Watsapp","Flipkart","less than 1 hour","Normal Excercises","Pantene","Colgate"
"2018/12/09 6:55:34 pm GMT+5:30","31-40 year","Housewife","Narendra Modi","Yes","5-7 hours","Read something new","Read Newspapers","Rock","Arrange Marriage","Watsapp","Amazon","2-3 hours","Normal Excercises","Pantene","Close-Up"
"2018/12/09 6:57:50 pm GMT+5:30","41-50 year","Housewife","None","Yes","3-5 hours","Hangout with friends","Mobile","Classic","Arrange Marriage","Facebook","Paytm Mall","2-3 hours","Normal Excercises","Sunsilk","Dant Kanti"
"2018/12/09 7:05:21 pm GMT+5:30","31-40 year","Housewife","Narendra Modi","Yes","greater than 7 hours","Shopping n meetings with friends ","Cooking","Romantic","Love Marriage","Watsapp","Paytm Mall","3-4 hours","Dieting","LOreal","Dant Kanti"
"2018/12/09 7:16:18 pm GMT+5:30","41-50 year","Housewife","none","Yes","3-5 hours","Online bussiness","Mobile","Romantic","Love Marriage","Facebook","Paytm Mall","1-2 hours","Normal Excercises","Dove","Sensodyne"
"2018/12/09 7:18:29 pm GMT+5:30","21-30 year","Business","Arvind Kejriwal","No","greater than 7 hours","Hangout with friends","Watch documentaries / Educational videos","Rap","Love Marriage","Watsapp","Paytm Mall","greater than 5 hours","Jym","Scalpe+","Dant Kanti"
"2018/12/09 7:20:09 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Play Outdoor Games","Watch documentaries / Educational videos","Classic","Arrange Marriage","Watsapp","Amazon","greater than 5 hours","Normal Excercises","Dove","Dant Kanti"
"2018/12/09 7:25:26 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","Play Outdoor Games","Watch documentaries / Educational videos","Classic","Arrange Marriage","Watsapp","Amazon","greater than 5 hours","Normal Excercises","Clinic +","Dant Kanti"
"2018/12/09 7:26:21 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Read Books","Read Newspapers","Romantic","Love Marriage","Watsapp","Amazon","less than 1 hour","Normal Excercises","TRESemme","Colgate"
"2018/12/09 7:26:38 pm GMT+5:30","41-50 year","Business","Narendra Modi","Yes","greater than 7 hours","Rotary club activties","Read Newspapers","Romantic","Arrange Marriage","Facebook","Flipkart","2-3 hours","Normal Excercises","Clinic plus","Close-Up"
"2018/12/09 7:32:08 pm GMT+5:30","41-50 year","Housewife","Arvind Kejriwal","No","3-5 hours","Read something new","Read Articles","Romantic","Arrange Marriage","Facebook","Amazon","2-3 hours","Jym","Dove","Colgate"
"2018/12/09 7:32:54 pm GMT+5:30","31-40 year","Housewife","Narendra Modi","Yes","1-3 hours","Read something new","Watch documentaries / Educational videos","Romantic","Love Marriage","Watsapp","Paytm Mall","2-3 hours","Normal Excercises","Kesh Kanti","Colgate"
"2018/12/09 7:33:40 pm GMT+5:30","41-50 year","Business","Narendra Modi","Yes","less than 1hour","Watch Movies","Read Newspapers","Romantic","Arrange Marriage","Watsapp","Amazon","3-4 hours","Normal Excercises","Himalya","Dant Kanti"
"2018/12/09 7:33:58 pm GMT+5:30","41-50 year","Business","Narendra Modi","Yes","3-5 hours","Watch Movies","Read Newspapers","Romantic","Love Marriage","Facebook","Amazon","2-3 hours","Dieting","Pantene","Sensodyne"
"2018/12/09 7:34:17 pm GMT+5:30","41-50 year","Business","No one now","No","less than 1hour","Watch Movies","Read Newspapers","Classic","Arrange Marriage","Watsapp","Amazon","2-3 hours","Normal Excercises","LOreal","Sensodyne"
"2018/12/09 7:35:13 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","It's none of your business","Read Books","Rap","Love Marriage","Watsapp","Amazon","less than 1 hour","Yoga","TRESemme","Dant Kanti"
"2018/12/09 7:38:28 pm GMT+5:30","31-40 year","Service","Narendra Modi","Yes","3-5 hours","  Spend time with family","Watch documentaries / Educational videos","Any","Arrange Marriage","You tube","Lazada","less than 1 hour","Normal Excercises","Head & Shoulders","Colgate"
"2018/12/09 7:42:06 pm GMT+5:30","41-50 year","Business","Narendra Modi","Yes","1-3 hours","Read News","Read Newspapers","Romantic","Arrange Marriage","Facebook","Myntra","less than 1 hour","Dieting","Boitieque","Dabar red"
"2018/12/09 7:42:48 pm GMT+5:30","41-50 year","Business","Narendra Modi","Yes","1-3 hours","Read News","Watch documentaries / Educational videos","","Remain Single forever","Watsapp","Amazon","less than 1 hour","Jym","Kesh Kanti","Dant Kanti"
"2018/12/09 7:46:28 pm GMT+5:30","21-30 year","Service","Sushma Swaraj","No","1-3 hours","Watch Movies","Read Books","Rock","Arrange Marriage","Watsapp","Myntra","less than 1 hour","Normal Excercises","LOreal","Close-Up"
"2018/12/09 7:52:33 pm GMT+5:30","41-50 year","Business","Narendra Modi","Yes","1-3 hours","Read News","Read Newspapers","Romantic","Arrange Marriage","Facebook","Paytm Mall","1-2 hours","Normal Excercises","Pantene","Dant Kanti"
"2018/12/09 8:00:19 pm GMT+5:30","11-20 year","Student","Student","Yes","3-5 hours","Mobile games or social media","Do Courses","Classic","Arrange Marriage","Instagram","Flipkart","3-4 hours","Normal Excercises","Park Avenue,Beer Shampoo","Colgate"
"2018/12/09 8:00:43 pm GMT+5:30","41-50 year","Business","Narendra Modi","Yes","3-5 hours","Hangout with friends","Read Newspapers","Romantic","Arrange Marriage","Watsapp","Flipkart","1-2 hours","Normal Excercises","TRESemme","Dant Kanti"
"2018/12/09 8:15:48 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","Watch Movies","Watch documentaries / Educational videos","Rap","Arrange Marriage","Instagram","Flipkart","greater than 5 hours","Jym","Head & Shoulders","Close-Up"
"2018/12/09 8:18:05 pm GMT+5:30","21-30 year","Student","Narendra Modi","Yes","3-5 hours","Watch Movies","Watch documentaries / Educational videos","Romantic","Arrange Marriage","Watsapp","Paytm Mall","less than 1 hour","Jym","Kesh Kanti","Colgate"
"2018/12/09 8:20:16 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Play Computer Games","Do Courses","Classic","Arrange Marriage","Snapchat","Flipkart","less than 1 hour","Its gym","Kesh Kanti","Dant Kanti"
"2018/12/09 8:23:19 pm GMT+5:30","21-30 year","Service","Narendra Modi","Yes","greater than 7 hours","Read something new","Read Articles","Romantic","Remain Single forever","Watsapp","Myntra","4-5 hours","Jym","Matrix","Colgate"
"2018/12/09 8:26:03 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Watch Youtube","Watch documentaries / Educational videos","Romantic","Love Marriage","Instagram","Flipkart","less than 1 hour","Dieting","Sunsilk","Colgate"
"2018/12/09 8:32:19 pm GMT+5:30","41-50 year","Service","Narendra Modi","Yes","less than 1hour","Read something new","Read Books","Classic","Arrange Marriage","Facebook","Paytm Mall","2-3 hours","Yoga","Sunsilk","Dant Kanti"
"2018/12/09 8:32:44 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Hangout with friends","Read Books","Punjabi","Love Marriage","Instagram","Amazon","3-4 hours","Normal Excercises","Dove","Colgate"
"2018/12/09 8:32:47 pm GMT+5:30","41-50 year","Service","Narendra Modi","Yes","less than 1hour","Read something new","Read Books","Classic","Arrange Marriage","Facebook","Paytm Mall","2-3 hours","Yoga","Sunsilk","Dant Kanti"
"2018/12/09 8:35:35 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Play Computer Games","Read Articles","Romantic","Arrange Marriage","Instagram","Flipkart","less than 1 hour","Normal Excercises","Kesh Kanti","Colgate"
"2018/12/09 8:36:04 pm GMT+5:30","11-20 year","Student","Narendra Modi","No","1-3 hours","Read News","Watch documentaries / Educational videos","Classic","Arrange Marriage","Watsapp","Flipkart","less than 1 hour","Normal Excercises","Head & Shoulders","Dant Kanti"
"2018/12/09 8:37:08 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Hangout with friends","Watch documentaries / Educational videos","Romantic","Love Marriage","Watsapp","Flipkart","2-3 hours","Normal Excercises","TRESemme","Close-Up"
"2018/12/09 8:37:52 pm GMT+5:30","31-40 year","Business","Rahul Gandhi","No","greater than 7 hours","Read News","Read Newspapers","Romantic","Arrange Marriage","Twitter","Paytm Mall","2-3 hours","Yoga","Kesh Kanti","Dant Kanti"
"2018/12/09 8:39:48 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","greater than 7 hours","Hangout with friends","Watch documentaries / Educational videos","Romantic","Love Marriage","Watsapp","Amazon","2-3 hours","Normal Excercises","Pantene","Colgate"
"2018/12/09 8:44:23 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","greater than 7 hours","Watching Web Series","Read Articles","Punjabi ","Love Marriage","Instagram","Paytm Mall","greater than 5 hours","Normal Excercises","Sunsilk","Dant Kanti"
"2018/12/09 8:45:26 pm GMT+5:30","21-30 year","Service","Narendra Modi","Yes","1-3 hours","Hangout with friends","Read Newspapers","Romantic","Love Marriage","Watsapp","Myntra","greater than 5 hours","Yoga","LOreal","Close-Up"
"2018/12/09 8:45:34 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Watch Movies","Watch documentaries / Educational videos","Romantic","Love Marriage","Instagram","Myntra","less than 1 hour","Jym","Wella","Colgate"
"2018/12/09 8:50:54 pm GMT+5:30","41-50 year","Business","Narendra Modi","Yes","1-3 hours","Read something new","Read Articles","Folk","Love Marriage","Watsapp","Paytm Mall","1-2 hours","Normal Excercises","Head & Shoulders","Dant Kanti"
"2018/12/09 8:53:39 pm GMT+5:30","11-20 year","Student","None","No","1-3 hours","Hangout with friends","Watch documentaries / Educational videos","Romantic","Arrange Marriage","Instagram","None","greater than 5 hours","None","TRESemme","Colgate"
"2018/12/09 8:55:26 pm GMT+5:30","11-20 year","Student","Arvind Kejriwal","No","5-7 hours","Hangout with friends","Read Articles","Classic","Remain Single forever","Instagram","Amazon","less than 1 hour","Jym","Kesh Kanti","Colgate"
"2018/12/09 8:56:50 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Watch Movies","Read Newspapers","Romantic","Love Marriage","Watsapp","Flipkart","1-2 hours","Dieting","Clinic plus","Dant Kanti"
"2018/12/09 8:57:08 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Hangout with friends","Read Books","Rock","Arrange Marriage","Facebook","Flipkart","less than 1 hour","Yoga","Dove","Colgate"
"2018/12/09 9:01:57 pm GMT+5:30","31-40 year","Business","Narendra Modi","Yes","greater than 7 hours","Read Books","Read Books","Classic","Arrange Marriage","Facebook","Myself site","4-5 hours","Yoga","Sunsilk","Dabur red"
"2018/12/09 9:08:00 pm GMT+5:30","11-20 year","Student","Aklesh yadav","Yes","3-5 hours","Hangout with friends","Read Books","Romantic","Arrange Marriage","Instagram","Amazon","greater than 5 hours","Normal Excercises","Pantene","Colgate"
"2018/12/09 9:12:15 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Watch Movies","Watch documentaries / Educational videos","Rock","Arrange Marriage","Instagram","Myntra","less than 1 hour","Jym","TRESemme","Colgate"
"2018/12/09 9:12:35 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","Hangout with friends","Read Newspapers","Rock","Arrange Marriage","Instagram","Amazon","less than 1 hour","Dancing","Pantene","Colgate"
"2018/12/09 9:13:06 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Watch Movies","Do Courses","Romantic","Arrange Marriage","Instagram","Flipkart","greater than 5 hours","Dieting","TRESemme","Colgate"
"2018/12/09 9:15:47 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Read Books","Read Books","Romantic","Love Marriage","Instagram","Myntra","less than 1 hour","Normal Excercises","LOreal","Pepsodent"
"2018/12/09 9:16:27 pm GMT+5:30","11-20 year","Student","Sushma Swaraj","No","1-3 hours","Watch Movies","Do Courses","Romantic","Arrange Marriage","Instagram","Flipkart","greater than 5 hours","Nothing ","Nothing","Colgate"
"2018/12/09 9:19:13 pm GMT+5:30","11-20 year","Business","Sushma Swaraj","Yes","3-5 hours","Talk to my fiance or take a nap ","Watch documentaries / Educational videos","Romantic","Love Marriage","Instagram","Flipkart","3-4 hours","Normal Excercises","Dove","Colgate"
"2018/12/09 9:20:44 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","greater than 7 hours","Hangout with friends","Read Books","sad songs","Love Marriage","Watsapp","Amazon","less than 1 hour","nothing","Head & Shoulders","Colgate"
"2018/12/09 9:22:31 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","Hangout with friends","Do Courses","Rock","Arrange Marriage","Instagram","Snapdeal","greater than 5 hours","Normal Excercises","TRESemme","Colgate"
"2018/12/09 9:27:21 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","Read something new","Do Courses","Rock","Arrange Marriage","Watsapp","Flipkart","greater than 5 hours","Normal Excercises","TRESemme","Colgate"
"2018/12/09 9:31:47 pm GMT+5:30","31-40 year","Housewife","Narendra Modi","Yes","1-3 hours","Hangout with friends","Watch documentaries / Educational videos","Romantic","Love Marriage","Facebook","Paytm Mall","less than 1 hour","Dieting","Kesh Kanti","Dant Kanti"
"2018/12/09 9:32:05 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Watch Movies","Do Courses","Romantic","Love Marriage","LinkedIn","Flipkart","1-2 hours","Normal Excercises","Head & Shoulders","Colgate"
"2018/12/09 9:32:12 pm GMT+5:30","41-50 year","Housewife","Narendra Modi","Yes","1-3 hours","Read something new","Read Newspapers","Romantic","Arrange Marriage","Watsapp","Amazon","greater than 5 hours","Normal Excercises","Kesh Kanti","Colgate"
"2018/12/09 9:34:04 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Hangout with friends","Watch documentaries / Educational videos","Romantic","Love Marriage","Watsapp","Flipkart","1-2 hours","Jym","Dove","Colgate"
"2018/12/09 9:38:35 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Hangout with friends","Do Courses","Rock","Arrange Marriage","Watsapp","Club factory","greater than 5 hours","Normal Excercises","Dove","Colgate"
"2018/12/09 9:45:22 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Hangout with friends","Read Newspapers","Rock","Love Marriage","Instagram","Amazon","4-5 hours","Jym","Park Avenue","Colgate"
"2018/12/09 9:46:52 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","Watch Movies","Watch documentaries / Educational videos","Romantic","Remain Single forever","Watsapp","Amazon","2-3 hours","Jym","TRESemme","Colgate"
"2018/12/09 9:50:26 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Read Books","Read Newspapers","Romantic","Love Marriage","Instagram","Flipkart","greater than 5 hours","Normal Excercises","Kesh Kanti","Dant Kanti"
"2018/12/09 9:55:59 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","Play Computer Games","Watch documentaries / Educational videos","Classic","Love Marriage","Instagram","Flipkart","greater than 5 hours","Jym","Dove","Dant Kanti"
"2018/12/09 10:03:06 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Watch Movies","Read Books","Romantic","Love Marriage","Watsapp","Amazon","1-2 hours","Yoga","TRESemme","Colgate"
"2018/12/09 10:04:08 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Watch Movies","Read Newspapers","Romantic","Arrange Marriage","Watsapp","Myntra","4-5 hours","Normal Excercises","Head & Shoulders","Colgate"
"2018/12/09 10:07:02 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Hangout with friends","Watch documentaries / Educational videos","Classic","Love Marriage","Watsapp","Amazon","2-3 hours","Normal Excercises","Dove","Colgate"
"2018/12/09 10:12:33 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Play Computer Games","Watch documentaries / Educational videos","Romantic","Love Marriage","Instagram","Amazon","3-4 hours","Normal Excercises","Berdo","Dant Kanti"
"2018/12/09 10:18:15 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Play Computer Games","Watch documentaries / Educational videos","Romantic","Arrange Marriage","Watsapp","Amazon","greater than 5 hours","Normal Excercises","Dove","Colgate"
"2018/12/09 10:38:36 pm GMT+5:30","11-20 year","Business","Narendra Modi","Yes","less than 1hour","Plan to increase sale !!","Watch documentaries / Educational videos","Romantic","Arrange Marriage","Instagram","Flipkart","greater than 5 hours","Normal Excercises","Beer","Beer"
"2018/12/09 10:41:32 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Hangout with friends","Do Courses","Rap","Love Marriage","Watsapp","Paytm Mall","4-5 hours","Jym","Kesh Kanti","Dant Kanti"
"2018/12/09 11:25:49 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Hangout with friends","Read Books","Romantic","Arrange Marriage","Watsapp","Flipkart","greater than 5 hours","Jym","Dove","Colgate"
"2018/12/09 11:35:16 pm GMT+5:30","41-50 year","Housewife","Narendra Modi","Yes","1-3 hours","Read Books","Read Books","Evergreen bollywood songs","Arrange Marriage","Watsapp","Amazon","greater than 5 hours","Household jobs","LOreal","Close-Up"
